No of Actors '6863'.
Actor details - FirstName:JaneLastName:PetersDob:1908.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JulieLastName:PeckDob:1926.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AudreyLastName:LongDob:1924.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RichardLastName:LongDob:1927.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:WalterLastName:LongDob:1879.
Actor details - FirstName:JohnLastName:LongdenDob:1900.
Actor details - FirstName:TerenceLastName:LongdenDob:1922.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MichaelLastName:LonsdaleDob:1931.
Actor details - FirstName:RichardLastName:LooDob:1903.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TriniLastName:LopezDob:1933.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:John JosephLastName:RyanDob:1922.
Actor details - FirstName:MarjorieLastName:LordDob:1922.
Actor details - FirstName:PaulineLastName:LordDob:1890.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SophiaLastName:ScicoloniDob:1934.
Actor details - FirstName:M.L.LastName:MacDougalDob:1886.
Actor details - FirstName:LaszloLastName:L\"owensteinDob:1904.
Actor details - FirstName:MagdalenLastName:EllisDob:1926.
Actor details - FirstName:TillyLastName:LoschDob:1901.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Anita LouiseLastName:FremaultDob:1915.
Actor details - FirstName:TinaLastName:LouiseDob:1934.
Actor details - FirstName:JuanitaLastName:HortonDob:1898.
Actor details - FirstName:MontaguLastName:LoveDob:1877.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:FrankLastName:LovejoyDob:1912.
Actor details - FirstName:LindaLastName:MarchianoDob:1952.
Actor details - FirstName:DysonLastName: LovellDob:.
Actor details - FirstName:RaymondLastName:LovellDob:1900.
Actor details - FirstName:LyleLastName:LovettDob:1958.
Actor details - FirstName:ArthurLastName:LoweDob:1914.
Actor details - FirstName:EdmundLastName:LoweDob:1890.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CareyLastName: LowellDob:1964.
Actor details - FirstName:R.L.LastName:HanksDob:1916.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MortonLastName:LowryDob:1908.
Actor details - FirstName:MyrnaLastName:WilliamsDob:1905.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AntoinettaLastName:dePasqualeDob:1931.
Actor details - FirstName:ArthurLastName:TowleDob:1887.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:WilfredLastName:LucasDob:1926.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CorinneLastName:LuchaireDob:1921.
Actor details - FirstName:LaurenceLastName:LuckinbillDob:1934.
Actor details - FirstName:CharlesLastName:LudlamDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Bela FerencLastName:BlaskoDob:1882.
Actor details - FirstName:PalLastName:LukacsDob:1887.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:KeyeLastName:LukeDob:1904.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:FolcoLastName:LulliDob:1912.
Actor details - FirstName:MarieLastName:LawrieDob:1948.
Actor details - FirstName:JoannaLastName:LumleyDob:1946.
Actor details - FirstName:DaytonLastName:LummisDob:1903.
Actor details - FirstName:BarbaraLastName:LunaDob:1937.
Actor details - FirstName:ArthurLastName:LondonDob:1915.
Actor details - FirstName:JohnLastName:LundDob:1913.
Actor details - FirstName:AlfredLastName:LundDob:1892.
Actor details - FirstName:IdaLastName:LupinoDob:1914.
Actor details - FirstName:StanleyLastName:LupinoDob:1893.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:1967.
Actor details - FirstName:JamesLastName:LydonDob:1923.
Actor details - FirstName:ViolaLastName:LyelDob:1900.
Actor details - FirstName:AlfredLastName:LynchDob:1933.
Actor details - FirstName:RichardLastName:LynchDob:1936.
Actor details - FirstName:PaulLastName:LyndeDob:1926.
Actor details - FirstName:RobertLastName:LynenDob:1921.
Actor details - FirstName:CarolLastName:LynleyDob:1942.
Actor details - FirstName:AnnLastName:LynnDob:1934.
Actor details - FirstName:DoloresLastName:LoehrDob:1926.
Actor details - FirstName:RagnarLastName:LindDob:1909.
Actor details - FirstName:LeniLastName:LynnDob:1925.
Actor details - FirstName:RalphLastName:LynnDob:1882.
Actor details - FirstName:SharonLastName:LynnDob:1910.
Actor details - FirstName:VeraLastName:LynnDob:1921.
Actor details - FirstName:BenLastName:LyonDob:1901.
Actor details - FirstName:SueLastName:LyonDob:1946.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:BertLastName:LytellDob:1888.
Actor details - FirstName:JamesLastName:MacArthurDob:1937.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SimonLastName:MacCorkindaleDob:1952.
Actor details - FirstName:J.FarrellLastName:MacDonaldDob:1875.
Actor details - FirstName:JeanetteLastName:MacDonaldDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:NiallLastName:MacGinnisDob:1913.
Actor details - FirstName:JackLastName:MacGowranDob:1916.
Actor details - FirstName:AliceLastName:MacGrawDob:1938.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:StephenLastName:MachtDob:.
Actor details - FirstName:HelenLastName:MackDob:1913.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DorothyLastName:MackaillDob:1903.
Actor details - FirstName:BarryLastName:MackayDob:1906.
Actor details - FirstName:FultonLastName:MackayDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AlexanderLastName: MackendrickDob:1912.
Actor details - FirstName:LeoLastName: MielzinerDob:1899.
Actor details - FirstName:Shirley MacLaineLastName:BeatyDob:1934.
Actor details - FirstName:BartonLastName:MacLaneDob:1900.
Actor details - FirstName:DouglassLastName:MacLeanDob:1890.
Actor details - FirstName:MichealLastName:MacLiammoirDob:1899.
Actor details - FirstName:MaloneLastName:JenaDob:1984.
Actor details - FirstName:AlineLastName:MacMahonDob:1899.
Actor details - FirstName:HoraceLastName:MacMahonDob:1907.
Actor details - FirstName:FredLastName:MacMurrayDob:1907.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PatrickLastName:MacNeeDob:1922.
Actor details - FirstName:KristyLastName: MacNicholDob:1976.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:NormanLastName:MacowanDob:1877.
Actor details - FirstName:DouglasLastName:MacPhailDob:1910.
Actor details - FirstName:ElleLastName:MacPhersonDob:1966.
Actor details - FirstName:JeanieLastName:MacPhersonDob:1878.
Actor details - FirstName:DuncanLastName:MacraeDob:1905.
Actor details - FirstName:GordonLastName:MacraeDob:1921.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GeorgeLastName:MaCreadyDob:1909.
Actor details - FirstName:BillLastName:MacyDob:1922.
Actor details - FirstName:William H. MacyLastName:MacyDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PeterLastName:MaddenDob:1905.
Actor details - FirstName:VictorLastName:MaddernDob:1926.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RobertLastName:MoseleyDob:1922.
Actor details - FirstName:NathanielLastName:MoscovitchDob:1898.
Actor details - FirstName:fnLastName:CicconeDob:1959.
Actor details - FirstName:PatrickLastName:MageeDob:1924.
Actor details - FirstName:AnnaLastName:MagnaniDob:1907.
Actor details - FirstName:GeorgeLastName:MaharisDob:1928.
Actor details - FirstName:JacquesLastName:O\'MahoneyDob:1919.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MaryLastName:TomlinsonDob:1890.
Actor details - FirstName:MarneLastName:MaitlandDob:1920.
Actor details - FirstName:LeeLastName:MajorsDob:1940.
Actor details - FirstName:EliotLastName:MakehamDob:1882.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RayLastName:WyseDob:1906.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MaldenLastName:SekulovichDob:1913.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JohnLastName:MalkovichDob:.
Actor details - FirstName:MilesLastName:MallesonDob:1888.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PatriciaLastName:MalloryDob:1913.
Actor details - FirstName:JanetLastName:FlynnDob:1909.
Actor details - FirstName:DorothyLastName:MaloneyDob:1925.
Actor details - FirstName:EilyLastName:MalyonDob:1879.
Actor details - FirstName:NickLastName:MancusoDob:1956.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LionelLastName:ManderDob:1888.
Actor details - FirstName:SilvanaLastName:ManganoDob:1937.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:DavidLastName:LiebermannDob:1887.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RauffLastName:deRyther Duan AcklomDob:1901.
Actor details - FirstName:LucieLastName:MannheimDob:1895.
Actor details - FirstName:EttoriLastName:ManniDob:1927.
Actor details - FirstName:InezLastName:HarvuotDob:1917.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Vera JaneLastName:PalmerDob:1932.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:PaulLastName:MarianettiDob:1936.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LindaLastName:ManzDob:1961.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AdelaidaLastName:DelgadoDob:1923.
Actor details - FirstName:JeanLastName:Marais-VillainDob:1913.
Actor details - FirstName:MarcelLastName: MarceauDob:.
Actor details - FirstName:SophieLastName:MaupuDob:1966.
Actor details - FirstName:Frederick McIntyreLastName:BickelDob:1897.
Actor details - FirstName:HalLastName:MarchDob:1920.
Actor details - FirstName:JaneLastName:MarchDob:1973.
Actor details - FirstName:CorinneLastName:MarchandDob:1928.
Actor details - FirstName:HenriLastName:MarchandDob:1898.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TheodoreLastName:MarcuseDob:1920.
Actor details - FirstName:JanieLastName:Mar\`ezeDob:.
Actor details - FirstName:ArthurLastName:MargetsonDob:1897.
Actor details - FirstName:Marguerita Maria GuadelupeLastName:Boldao y CastilloDob:1918.
Actor details - FirstName:JanetLastName:MargolinDob:1943.
Actor details - FirstName:StuartLastName:MargolinDob:1940.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RichardLastName:MarinDob:.
Actor details - FirstName:JacquesLastName:MarinDob:1919.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:HowardLastName:Marion-CrawfordDob:1914.
Actor details - FirstName:gnLastName:bnDob:1973.
Actor details - FirstName:JaneLastName:MarkenDob:1895.
Actor details - FirstName:EnidLastName:MarkeyDob:1890.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MonteLastName:MarkhamDob:1935.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JohnLastName:MarleyDob:1916.
Actor details - FirstName:HughLastName:HippleDob:1911.
Actor details - FirstName:ScottLastName:MarloweDob:.
Actor details - FirstName:PercyLastName:MarmontDob:1883.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:KennethLastName:MarsDob:1936.
Actor details - FirstName:NormaLastName:SimpsonDob:1926.
Actor details - FirstName:Leslie MarchLastName:GeraghtyDob:1902.
Actor details - FirstName:Mary WarneLastName:MarshDob:1895.
Actor details - FirstName:VioletLastName:KrauthDob:1913.
Actor details - FirstName:AlanLastName:MarshalDob:1909.
Actor details - FirstName:ArthurLastName:MarshalDob:.
Actor details - FirstName:BrendaLastName:MarshallDob:1915.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ConnieLastName:MarshallDob:1938.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Everett G.LastName:MarshallDob:1910.
Actor details - FirstName:HerbertLastName:MarshallDob:1890.
Actor details - FirstName:JamesLastName:MarshallDob:1967.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:WilliamLastName:PhillipsDob:1864.
Actor details - FirstName:ZenaLastName:MarshallDob:1926.
Actor details - FirstName:Anne-MarieLastName:MartinDob:1957.
Actor details - FirstName:Chris-PinLastName:MartinDob:1894.
Actor details - FirstName:DinoLastName:CrocettiDob:1917.
Actor details - FirstName:DeweyLastName:MartinDob:1923.
Actor details - FirstName:DickLastName:MartinDob:1923.
Actor details - FirstName:EdieLastName:MartinDob:1880.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MarionLastName:MartinDob:1916.
Actor details - FirstName:MaryLastName:MartinDob:1913.
Actor details - FirstName:MillicentLastName:MartinDob:1934.
Actor details - FirstName:PamelaLastName:MartinDob:.
Actor details - FirstName:MartinLastName:RosenblattDob:1920.
Actor details - FirstName:SteveLastName:MartinDob:1945.
Actor details - FirstName:StrotherLastName:MartinDob:1920.
Actor details - FirstName:AlfredLastName:NorrisDob:1912.
Actor details - FirstName:ElsaLastName:MartinelliDob:1933.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:NinoLastName:MartiniDob:1904.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Leslie H.LastName: MartinsonDob:.
Actor details - FirstName:LeeLastName:MarvinDob:1924.
Actor details - FirstName:LeonardLastName:SchoenbergDob:1886.
Actor details - FirstName:JuliusLastName:SchoenbergDob:1890.
Actor details - FirstName:Adolph (Arthur)LastName:SchoenbergDob:1888.
Actor details - FirstName:MiltonLastName:SchoenbergDob:1893.
Actor details - FirstName:HerbertLastName:SchoenbergDob:1901.
Actor details - FirstName:MarxLastName: BrooksDob:n.a..
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:GiuliettaLastName:MasinaDob:1921.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:VirginiaLastName:MaskellDob:1936.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JamesLastName:MasonDob:1909.
Actor details - FirstName:MarshaLastName:MasonDob:1942.
Actor details - FirstName:LeonaLastName:FlugrathDob:1900.
Actor details - FirstName:LeaLastName:MassariDob:1933.
Actor details - FirstName:OsaLastName:MassenDob:1915.
Actor details - FirstName:AnnaLastName:MasseyDob:1937.
Actor details - FirstName:DanielLastName:MasseyDob:1933.
Actor details - FirstName:EdithLastName:MasseyDob:.
Actor details - FirstName:IlonaLastName:HajmasseyDob:1912.
Actor details - FirstName:RaymondLastName:MasseyDob:1896.
Actor details - FirstName:PaulLastName:MassieDob:1932.
Actor details - FirstName:LastName:Dob:1967.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Chiara LastName:MastroianniDob:1972.
Actor details - FirstName:MarcelloLastName:MastroianniDob:1923.
Actor details - FirstName:RichardLastName:MasurDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:AubreyLastName:MatherDob:1885.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MurrayLastName:MathesonDob:1912.
Actor details - FirstName:TimLastName:MatthiesonDob:1926.
Actor details - FirstName:KerwinLastName:MathewsDob:1926.
Actor details - FirstName:WalterLastName:MathasschanskayaskyDob:1920.
Actor details - FirstName:A.E.LastName:MatthewsDob:1869.
Actor details - FirstName:JessieLastName:MatthewsDob:1907.
Actor details - FirstName:LesterLastName:MatthewsDob:1900.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:VictorLastName:MatureDob:1915.
Actor details - FirstName:WilliamLastName:MauchDob:1925.
Actor details - FirstName:RobertLastName:MauchDob:1925.
Actor details - FirstName:GnLastName:FnDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:NicoleLastName:MaureyDob:1925.
Actor details - FirstName:EdwinLastName:MaxwellDob:1886.
Actor details - FirstName:ElsaLastName:MaxwellDob:1883.
