No of Actors '6863'.
Actor details - FirstName:BenjaminLastName:KubelskyDob:1894.
Actor details - FirstName:MartinLastName:BensonDob:1918.
Actor details - FirstName:RobertLastName:SegalDob:1956.
Actor details - FirstName:MichaelLastName:BentineDob:1922.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TomLastName:BerengerDob:1950.
Actor details - FirstName:MarisaLastName:BerensonDob:1946.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CandiceLastName:BergenDob:1946.
Actor details - FirstName:NellieLastName:BurginDob:1929.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:HelmutLastName:SteinbergerDob:1944.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SentaLastName:BergerDob:1941.
Actor details - FirstName:LastName:Dob:1962.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JacquesLastName:BergeracDob:1927.
Actor details - FirstName:HerbertLastName:BerghofDob:1909.
Actor details - FirstName:IngridLastName:BergmanDob:1915.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ElisabethLastName:EttelDob:1898.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:MendelLastName:BerlingerDob:1908.
Actor details - FirstName:IsraelLastName:BalineDob:1888.
Actor details - FirstName:JeanLastName:BerlinDob:.
Actor details - FirstName:ShelleyLastName:BermanDob:1926.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SandraLastName:BernhardDob:.
Actor details - FirstName:HerschelLastName:BernardiDob:1923.
Actor details - FirstName:RosalieLastName:BernardDob:1844.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:HalleLastName:BerryDob:196x.
